"Jahr","Woche","GW_VPR","GW_SR","GNS","SC2_VL_WW"
2023,9,1081.2999057564684,1202.7308349609375,115.66361236572266,280.34024923913125
2023,10,466.3492160373264,928.3759765625,58.53386306762695,386.1363400710982
2023,11,689.0153227306547,790.12445068359375,53.842430114746094,327.14030061065694
2023,12,850.499206248113,522.18792724609375,43.613224029541016,225.3783977939914
2023,13,447.5764701965659,423.28582763671875,30.291370391845703,137.7771670582103
2023,14,923.7876675692471,644.93023681640625,19.676965713500977,107.6747190015464
2023,15,0,357.6519470214844,17.520397186279297,116.8343483243479
2023,16,182.64143630921131,375.98724365234375,15.39558219909668,107.29930806687369
2023,17,0,335.6960754394531,12.207671165466309,103.1860140515642
2023,18,405.1952846594024,284.3258972167969,9.772212028503418,86.6372047632427
2023,19,139.81290690104166,209.6474609375,8.954869270324707,67.20775913640522
2023,20,800.5423810198591,191.81234741210938,5.797332286834717,46.679970809331365
2023,21,738.7145182291667,135.71531677246094,5.713112831115723,48.58471209872409
2023,22,0,132.87680053710938,3.7015116214752197,30.087668956022082
2023,23,0,126.28921508789063,3.1782467365264893,25.49162715459049
2023,24,32.70018005371094,32.77171325683594,2.718491792678833,21.4714819724959
2023,25,362.1916466346154,82.81028747558594,2.0295493602752686,19.19018949442292
2023,26,0,81.3496322631836,1.4910975694656372,17.22595401414992
2023,27,40.009480794270836,120.5783920288086,1.3682200908660889,17.18522225883761
2023,28,37.12364501953125,110.48706817626953,1.644349217414856,25.2645653729281
2023,29,100.15509033203125,164.17774963378906,1.6636782884597778,24.68077288853643
2023,30,664.8699493408203,230.45713806152344,2.45064640045166,34.81955695364958
2023,31,82.86521693638393,118.9491195678711,2.751627206802368,44.31711101313971
2023,32,674.3099271334135,320.6106262207031,3.4309051036834717,48.571665907540726
2023,33,378.59398502498476,228.89974975585938,5.652364253997803,53.267289759329394
2023,34,936.4304421164773,338.9845886230469,6.6257195472717285,61.58632253580995
2023,35,953.2882849771694,445.8207092285156,7.142081260681152,52.03336604936767
2023,36,1463.9225331678747,551.19036865234375,9.501605033874512,85.96329517506297
2023,37,611.5013109094956,496.3951110839844,10.811838150024414,116.4457340269206
2023,38,961.8920923868815,758.31549072265625,10.944379806518555,125.1197487520219
2023,39,1049.5937630208332,821.9737548828125,11.874935150146484,108.99349916281581
2023,40,1395.200281956813,814.74334716796875,13.321852684020996,107.8485919714864
2023,41,1630.6743561001747,745.88555908203125,17.295351028442383,158.9894409170451
2023,42,1197.2463752436684,854.14825439453125,18.290796279907227,182.19720782907072
2023,43,2469.5244566984384,1308.5579833984375,24.315935134887695,215.7663253971588
2023,44,1607.3041509213656,1124.2861328125,25.347278594970703,241.3570212966154
2023,45,1634.0806800593787,1427.0218505859375,29.863370895385742,283.892166249421
2023,46,1544.5616132727948,1540.1170654296875,30.43219757080078,385.3582795202555
2023,47,2783.473718400661,1973.4720458984375,32.28640365600586,391.2001058745064
2023,48,2421.2326526519737,2295.826904296875,33.25838088989258,424.5891060739699
2023,49,2761.1938659667967,2703.55126953125,37.444496154785156,486.0008393626332
2023,50,2836.9222900390623,3265.698974609375,42.89942932128906,796.8739180158362
2023,51,1803.1577507173383,2389.543701171875,36.03209686279297,514.5092678815614
2023,52,2208.1163216409414,1174.87744140625,18.865144729614258,282.81651737249035
2024,1,673.1011800130208,719.10772705078125,18.340499877929688,268.2548882656679
2024,2,90.11305286038306,444.1649169921875,13.069193840026855,129.058985904977
2024,3,691.981875332919,377.4232482910156,8.95348834991455,122.6034421658623
2024,4,367.8358074428958,440.39874267578125,7.654300689697266,137.9091877834703
